,,,,,,,
Bill of Materials,,,,,,,
,,,,,,,
Product Name,Plant Reminder Board,Approved By,Erik Welsh,,,,
Product Designer,Fernanda Lago,Approval Date,12/11/20,,,,
,,Part Count,7,,,,
,,,,,,,
Designator,Description,,Manufacturer,Quantity,,,
ATSAMD10D14A,Soil Humidity Sensor Chip,,Adafruit,1,,,
TEMT6000,Light Sensor,,Sparkfun,2,,,
OSD3358,BeagleBoard Microcontroller,,Digikey,1,,,
GHI-2USB,USB Port,,Texas Instruments,1,,,
PIN-HD1X10,TFT Touchscreen Connector,,Adafruit,1,,,
527-AL3006-1M,10k Ohm Resistor,,Mouser Electronics,2,,,
660-RN73H2BTD1002B10,100k Ohm Resistor,,Mouser Electronics,2,,,